epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100
SLC1A5,MSH6,GSK3_pS9,S6_pS240S244,PAI1,RAB25,RBM15,EGFR_pY1068,EGFR_pY1068,EGFR_pY1068
4EBP1_pT37T46,NDRG1_pT346,STAT5ALPHA,PAI1,STAT5ALPHA,P16INK4A,RAB25,RBM15,RBM15,CKIT
SYK,RB_pS807S811,GSK3ALPHABETA_pS21S9,SLC1A5,4EBP1_pT37T46,PAI1,BCL2,STAT5ALPHA,STAT5ALPHA,STAT5ALPHA
FIBRONECTIN,GSK3ALPHABETA_pS21S9,PAI1,RAB25,RAB25,BRAF,STAT5ALPHA,BCL2,AMPKALPHA_pT172,S6_pS235S236
GSK3ALPHABETA_pS21S9,STAT5ALPHA,RB_pS807S811,GSK3_pS9,P16INK4A,STAT5ALPHA,PAI1,S6,BCL2,RBM15
SRC_pY527,PAI1,FIBRONECTIN,GSK3ALPHABETA_pS21S9,RB_pS807S811,4EBP1_pT37T46,S6,AMPKALPHA_pT172,S6,SYK
PAI1,RAB25,RAB25,RB_pS807S811,BRAF,S6,4EBP1_pT37T46,PAI1,CKIT,GSK3ALPHABETA_pS21S9
BCL2,SYK,MSH6,4EBP1_pT37T46,GSK3ALPHABETA_pS21S9,RB_pS807S811,RB_pS807S811,RB_pS807S811,S6_pS235S236,AMPKALPHA_pT172
RAB25,P16INK4A,SYK,SYK,S6,GSK3ALPHABETA_pS21S9,GSK3ALPHABETA_pS21S9,GSK3ALPHABETA_pS21S9,PAI1,BCL2
MSH6,FOXM1,P16INK4A,P16INK4A,SLC1A5,S6_pS235S236,SYK,SYK,SYK,PAI1
ATM,ERALPHA_pS118,S6_pS235S236,S6,S6_pS235S236,SYK,S6_pS235S236,S6_pS235S236,GSK3ALPHABETA_pS21S9,S6
CKIT,FIBRONECTIN,S6,S6_pS235S236,SYK,SLC1A5,AMPKALPHA_pT172,CKIT,RB_pS807S811,RB_pS807S811
S6_pS235S236,ASNS,4EBP1_pT37T46,BRAF,GSK3_pS9,CKIT,SLC1A5,4EBP1_pT37T46,4EBP1_pT37T46,4EBP1_pT37T46
NDRG1_pT346,S6_pS235S236,ASNS,CKIT,CKIT,AMPKALPHA_pT172,CKIT,SLC1A5,SRC_pY416,SRC_pY416
ASNS,SRC_pY527,BRAF,MSH6,CMYC,GSK3_pS9,GSK3_pS9,SRC_pY416,SLC1A5,SLC1A5
P16INK4A,CYCLINE1,ERALPHA_pS118,ATM,ATM,CMYC,CMYC,YAP_pS127,YAP_pS127,YAP_pS127
FOXM1,BRAF,CKIT,ASNS,SRC_pY527,SRC_pY527,SRC_pY416,GSK3_pS9,ATM,ATM
AMPKALPHA_pT172,4EBP1_pT37T46,FOXM1,CMYC,LCK,ATM,SRC_pY527,CMYC,ASNS,ASNS
ERALPHA_pS118,ATM,ATM,LCK,AMPKALPHA_pT172,ASNS,LCK,ASNS,GSK3_pS9,GSK3_pS9
BRAF,S6,SRC_pY527,SRC_pY527,ASNS,LCK,ATM,LCK,LCK,BIM
CMYC,CKIT,CYCLINE1,ERALPHA_pS118,MSH6,MSH6,ASNS,ATM,CMYC,LCK
P38_pT180Y182,AMPKALPHA_pT172,CMYC,AMPKALPHA_pT172,P70S6K1,P70S6K1,YAP_pS127,P70S6K1,P70S6K1,CMYC
CYCLINE1,CMYC,LCK,FOXM1,ETS1,ETS1,P70S6K1,SRC_pY527,BIM,ETS1
S6,LCK,AMPKALPHA_pT172,CYCLINE1,ERALPHA_pS118,SRC_pY416,ETS1,ETS1,SRC_pY527,P70S6K1
4EBP1,EEF2K,ANNEXIN1,P70S6K1,P38_pT180Y182,YAP_pS127,MSH6,BIM,ETS1,SRC_pY527
LCK,P38_pT180Y182,EEF2K,ETS1,ANNEXIN1,P38_pT180Y182,PEA15_pS116,P38_pT180Y182,P38_pT180Y182,4EBP1
ETS1,ANNEXIN1,P38_pT180Y182,ANNEXIN1,EEF2,PEA15_pS116,P38_pT180Y182,PEA15_pS116,PEA15_pS116,P38_pT180Y182
BIM,ETS1,P70S6K1,P38_pT180Y182,PEA15_pS116,ERALPHA_pS118,ERALPHA_pS118,MSH6,4EBP1,PEA15_pS116
P70S6K1,GCN5L2,ETS1,EEF2K,EEF2K,VEGFR2,VEGFR2,VEGFR2,VEGFR2,ERALPHA_pS118
ANNEXIN1,P70S6K1,EEF2,EEF2,FOXM1,EEF2,BIM,4EBP1,ERALPHA_pS118,VEGFR2
GCN5L2,RICTOR,GCN5L2,GCN5L2,VEGFR2,ANNEXIN1,GCN5L2,ERALPHA_pS118,HER3,HER3
SMAC,EEF2,RICTOR,PEA15_pS116,GCN5L2,GCN5L2,4EBP1,HER3,MSH6,EEF2
53BP1,JNK2,BIM,VEGFR2,CYCLINE1,EEF2K,EEF2,EEF2,EEF2,MSH6
P53,BIM,JNK2,PTEN,YAP_pS127,BIM,ANNEXIN1,GCN5L2,BRD4,BRD4
EEF2K,P53,VEGFR2,BRD4,GAB2,GAB2,BRD4,EEF2K,EEF2K,EEF2K
YAP_pS127,53BP1,PEA15_pS116,GAB2,PTEN,BRD4,EEF2K,BRD4,GCN5L2,PTEN
VEGFR2,4EBP1,PTEN,BIM,BRD4,FOXM1,HER3,ANNEXIN1,PTEN,GCN5L2
EEF2,SMAC,P53,RICTOR,BIM,4EBP1,PTEN,PTEN,ANNEXIN1,G6PD
BRD4,VEGFR2,SMAC,YAP_pS127,SHP2_pY542,PTEN,GAB2,SMAC,GAB2,GAB2
PEA15_pS116,BRD4,BRD4,P53,SRC_pY416,CYCLINE1,SMAC,GAB2,SMAC,SMAC
RICTOR,YAP_pS127,53BP1,JNK2,4EBP1,SHP2_pY542,FOXM1,FOXM1,RAB11,ANNEXIN1
JNK2,PEA15_pS116,4EBP1,SHP2_pY542,SMAC,SMAC,SHP2_pY542,PAXILLIN,G6PD,RAB11
COG3,COG3,COG3,SMAC,RICTOR,HER3,CYCLINE1,RAB11,PAXILLIN,PAXILLIN
AKT,DJ1,YAP_pS127,4EBP1,P53,PAXILLIN,PAXILLIN,SHP2_pY542,SHP2_pY542,SHP2_pY542
SHP2_pY542,PTEN,SHP2_pY542,COG3,HER3,G6PD,G6PD,G6PD,FOXM1,PKCALPHA_pS657
PTEN,SHP2_pY542,DJ1,53BP1,JNK2,JNK2,RAB11,CYCLINE1,COG3,RICTOR
DJ1,ADAR1,GAB2,SRC_pY416,G6PD,RICTOR,AMPKALPHA,COG3,STAT3_pY705,COG3
GAB2,TUBERIN,PAXILLIN,HER3,PAXILLIN,P53,COG3,AMPKALPHA,RICTOR,FOXM1
PKCPANBETAII_pS660,MSH2,PKCPANBETAII_pS660,G6PD,COG3,COG3,JNK2,CASPASE3,PKCALPHA_pS657,STAT3_pY705
MSH2,PAXILLIN,TUBERIN,PAXILLIN,53BP1,AMPKALPHA,CASPASE3,GATA6,CYCLINE1,AMPKALPHA
CASPASE3,AKT,ADAR1,DJ1,PKCPANBETAII_pS660,RAB11,GATA6,RICTOR,AMPKALPHA,CYCLINE1
TUBERIN,PKCPANBETAII_pS660,SRC_pY416,PKCPANBETAII_pS660,GATA6,53BP1,RICTOR,53BP1,CASPASE3,CASPASE3
CHK2,GAB2,MSH2,MSH2,AMPKALPHA,CASPASE3,P53,STAT3_pY705,GATA6,53BP1
ADAR1,CHK2,AKT,PDK1_pS241,DJ1,GATA6,53BP1,PDK1_pS241,PDK1_pS241,GATA6
PAXILLIN,JAK2,HER3,GATA6,AXL,PDK1_pS241,PDK1_pS241,PKCALPHA_pS657,53BP1,PDK1_pS241
KU80,KU80,CASPASE3,AXL,CASPASE3,AXL,AXL,JNK2,AXL,DJ1
JAK2,EIF4G,G6PD,AKT,PDK1_pS241,PKCPANBETAII_pS660,DJ1,AXL,DJ1,AXL
EIF4G,CASPASE3,GATA6,CASPASE3,MSH2,DJ1,STAT3_pY705,P53,EGFR_pY1173,EGFR_pY1173
MEK1_pS217S221,MEK1_pS217S221,PDK1_pS241,MEK1_pS217S221,RAB11,MSH2,BRAF_pS445,DJ1,JNK2,EIF4G
P70S6K_pT389,PDK1_pS241,EGFR,TUBERIN,AKT,BRAF_pS445,MSH2,EGFR_pY1173,TUBERIN_pT1462,TUBERIN_pT1462
CDK1_pY15,EGFR,1433ZETA,1433ZETA,1433ZETA,AKT,PKCALPHA_pS657,BRAF_pS445,BRAF_pS445,P70S6K_pT389
1433ZETA,GATA6,CHK2,CHK2,MEK1_pS217S221,EGFR_pY1173,PKCPANBETAII_pS660,MSH2,P70S6K_pT389,JNK2
G6PD,SRC_pY416,MEK1_pS217S221,ADAR1,BRAF_pS445,MEK1_pS217S221,EGFR_pY1173,AKT,AKT,BRAF_pS445
